COD_CURSO;NOME_CURSO;AREA_CONHECIMENTO;ANO_EVASAO;PERIODO_EVASAO;FORMA_EVASAO;COTISTA;TIPO_COTA;SEXO;ET_BRANCA;ET_PRETA;ET_AMARELA;ET_PARDA;ET_INDIGINA;ET_NAO_INFORMADO;ET_NAO_DECLARADA;QTDE
32 L;Química - Licenciatura;Educação;2019;2º Semestre;Formado;N;Ampla concorrência;F;1;0;0;2;0;0;0;3
32 L;Química - Licenciatura;Educação;2019;2º Semestre;Formado;N;Ampla concorrência;M;1;0;0;0;0;0;1;2
32 L;Química - Licenciatura;Educação;2019;2º Semestre;Formado;S;Baixa Renda e Não PPI;F;1;0;0;0;0;0;0;1
16;Estatística;Ciências naturais, matemática e estatística;2019;Anual;Desistência;N;Ampla concorrência;F;1;0;0;0;0;0;0;1
16;Estatística;Ciências naturais, matemática e estatística;2019;Anual;Desistência;S;Renda Normal e PPI;F;0;0;0;1;0;0;0;1
16;Estatística;Ciências naturais, matemática e estatística;2019;Anual;Desistência;S;Renda Normal e PPI;M;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Adaptação Curricular;N;Ampla concorrência;F;2;0;0;0;0;0;0;2
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Adaptação Curricular;S;Baixa Renda e Não PPI;F;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Adaptação Curricular;S;Renda Normal e Não PPI;M;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Adaptação Curricular;S;Renda Normal e PPI;M;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;N;Ampla concorrência;F;3;0;0;3;0;0;0;6
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;N;Ampla concorrência;M;10;1;1;3;0;0;1;16
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;S;Baixa Renda e Não PPI;M;1;0;0;0;0;0;0;1
