"","COD_CURSO","NOME_CURSO","AREA_CONHECIMENTO","ANO_EVASAO","PERIODO_EVASAO","FORMA_EVASAO","COTISTA","TIPO_COTA","SEXO","QTDE","ETNIA","FORMA_EVASAO_","FORMA_EVASAO_limpa","CURSO","MODALIDADE","SEXO_","ETNIA_","COTISTA_","QTDE_FORMADO","EVASAO","QTDE_TOTAL"
"1115","12 L","Matemática - Licenciatura","Educação",2019,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Feminino",0,"Parda","Formado","Formado","Matemática","Licenciatura","Feminino","Parda","Não Cotista",1,"Formado",1
"1116","12 L","Matemática - Licenciatura","Educação",2019,"1º Semestre","Formado","Cotista","Renda Normal e PPI","Masculino",0,"Parda","Formado","Formado","Matemática","Licenciatura","Masculino","Parda","Cotista",1,"Formado",1
"1117","16","Estatística","Ciências naturais, matemática e estatística",2019,"1º Semestre","Adaptação Curricular","Não Cotista","Ampla concorrência","Feminino",2,"Branca","Adaptação Curricular","Adaptação Curricular","Estatística","Bacharelado","Feminino","Branca","Não Cotista",0,"Evadido",2
"1118","16","Estatística","Ciências naturais, matemática e estatística",2019,"1º Semestre","Adaptação Curricular","Não Cotista","Ampla concorrência","Feminino",1,"Parda","Adaptação Curricular","Adaptação Curricular","Estatística","Bacharelado","Feminino","Parda","Não Cotista",0,"Evadido",1
"1119","16","Estatística","Ciências naturais, matemática e estatística",2019,"1º Semestre","Adaptação Curricular","Não Cotista","Ampla concorrência","Masculino",2,"Branca","Adaptação Curricular","Adaptação Curricular","Estatística","Bacharelado","Masculino","Branca","Não Cotista",0,"Evadido",2
"1120","16","Estatística","Ciências naturais, matemática e estatística",2019,"1º Semestre","Adaptação Curricular","Não Cotista","Ampla concorrência","Masculino",2,"Parda","Adaptação Curricular","Adaptação Curricular","Estatística","Bacharelado","Masculino","Parda","Não Cotista",0,"Evadido",2
"1121","16","Estatística","Ciências naturais, matemática e estatística",2019,"1º Semestre","Adaptação Curricular","Cotista","Baixa Renda e Não PPI","Feminino",1,"Branca","Adaptação Curricular","Adaptação Curricular","Estatística","Bacharelado","Feminino","Branca","Cotista",0,"Evadido",1
"1122","16","Estatística","Ciências naturais, matemática e estatística",2019,"1º Semestre","Adaptação Curricular","Cotista","Baixa Renda e Não PPI","Masculino",1,"Branca","Adaptação Curricular","Adaptação Curricular","Estatística","Bacharelado","Masculino","Branca","Cotista",0,"Evadido",1
"1123","16","Estatística","Ciências naturais, matemática e estatística",2019,"1º Semestre","Adaptação Curricular","Cotista","Baixa Renda e PPI","Masculino",1,"Parda","Adaptação Curricular","Adaptação Curricular","Estatística","Bacharelado","Masculino","Parda","Cotista",0,"Evadido",1
"1124","16","Estatística","Ciências naturais, matemática e estatística",2019,"1º Semestre","Adaptação Curricular","Cotista","Renda Normal e Não PPI","Feminino",1,"Parda","Adaptação Curricular","Adaptação Curricular","Estatística","Bacharelado","Feminino","Parda","Cotista",0,"Evadido",1
"1125","16","Estatística","Ciências naturais, matemática e estatística",2019,"1º Semestre","Adaptação Curricular","Cotista","Renda Normal e PPI","Feminino",1,"Parda","Adaptação Curricular","Adaptação Curricular","Estatística","Bacharelado","Feminino","Parda","Cotista",0,"Evadido",1
