"COD_CURSO","NOME_CURSO","ANO_INGRESSO","PERIODO_INGRESSO","ANO_EVASAO","FORMA_INGRESSO","PERIODO_EVASAO","FORMA_EVASAO","CRA","CRN","COTISTA","NUM_VERSAO","DT_SAIDA","DT_SAIDA_1","SEXO","ETNIA","TURNO_CURSO","SEM_INGRESSO","RETENCAO_PERIODOS","RETENCAO_MESES","NOMEE_CURSO","MODALIDADE","FORMA_EVASAO_limpo","id_estudante","hash_completo"
"10 B","Física - Bacharelado",2020,"1º Semestre",2025,"Sisu","1º Semestre","Desistência",7.39,5.8599,"N","2018","27/05/2025","27/05/2025","M","Branca","Integral",1,10,60,"Física","Bacharelado","Desistência",45,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2015,"1º Semestre",2018,"Vestibular","2º Semestre","Formado",8.34,16.4069,"S","2008","07/02/2019","07/02/2019","M","Parda","Integral",1,7,42,"Física","Bacharelado","Formado",46,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2018,"1º Semestre",2022,"Sisu","1º Semestre","Formado",7.72,15.7499,"N","2008","07/10/2022","07/10/2022","F","Branca","Integral",1,8,48,"Física","Bacharelado","Formado",47,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2019,"1º Semestre",2022,"Sisu","1º Semestre","Desistência",3.78,4.3134,"N","2008","11/04/2022","11/04/2022","M","Branca","Integral",1,6,36,"Física","Bacharelado","Desistência",48,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2011,"1º Semestre",2019,"Vestibular","1º Semestre","Desligamento: Resolução 68/2017-CEPE",5.1,4.7785,"N","2008","02/04/2019","02/04/2019","M","Branca","Integral",1,16,96,"Física","Bacharelado","Desligamento",49,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2021,"1º Semestre",2024,"Sisu","1º Semestre","Desligamento",4.96,4.791,"S","2018","08/11/2024","08/11/2024","M","Branca","Integral",1,6,36,"Física","Bacharelado","Desligamento",50,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2020,"1º Semestre",2022,"Sisu","2º Semestre","Desistência",1.22,3.0886,"N","2018","08/02/2023","08/02/2023","M","Branca","Integral",1,5,30,"Física","Bacharelado","Desistência",51,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2012,"2º Semestre",2015,"Permanência","1º Semestre","Desligamento por Abandono",0,11.9212,"N","2001","22/04/2015","22/04/2015","M","Branca","Integral",2,5,30,"Física","Bacharelado","Desligamento",52,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2014,"1º Semestre",2015,"Vestibular","2º Semestre","Desistência",3.36,3.4381,"N","2008","01/02/2016","01/02/2016","M","Branca","Integral",1,3,18,"Física","Bacharelado","Desistência",53,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
"10 B","Física - Bacharelado",2021,"1º Semestre",2022,"Sisu","2º Semestre","Desistência",2.94,3.7014,"N","2018","03/03/2023","03/03/2023","M","Branca","Integral",1,3,18,"Física","Bacharelado","Desistência",54,"f2f10017116cab0ec8d96484804dde9f0ba836c2b8cc7adaf2fe94201324d68c"
